,source,cluster,x,y
139,gazettetimes.com,1,-25.209,8.3587
140,news1130.com,8,-1.8225,-38.423
141,winonadailynews.com,1,-23.1,9.2154
142,newschannel10.com,5,-19.442999999999998,-14.799000000000001
143,kxxv.com,5,-20.107,-15.074000000000002
144,charlotteobserver.com,7,-33.592,8.8522
145,aberdeennews.com,1,-14.607999999999999,1.2618
146,news.com.au,9,10.571,-21.375
147,newswest9.com,5,-19.287,-14.950999999999999
148,1310news.com,8,-1.8954,-38.41
149,businessinsider.com,2,6.7241,-3.3786
150,goskagit.com,1,-21.182,4.668
151,dariennewsonline.com,1,-10.357000000000001,8.9615
152,metronews.ca,8,-4.0037,-38.479
153,whig.com,1,-15.86,4.2661
154,wsoctv.com,6,-22.164,-5.0775
155,princegeorgecitizen.com,8,-1.2452,-39.522
156,news957.com,8,-2.0119,-38.772
157,heraldonline.com,7,-33.393,8.1233
158,fox34.com,5,-24.588,-12.575999999999999
159,newcanaannewsonline.com,1,-10.577,9.1885
160,sharenet.co.za,2,9.6265,-5.9917
161,koaa.com,5,-21.075,-14.144
162,pantagraph.com,1,-25.521,9.0439
163,starherald.com,1,-20.109,3.592
164,washingtontimes.com,1,-12.325999999999999,-4.1484
165,statesville.com,1,-16.594,2.1962
166,4-traders.com,0,29.978,-27.541999999999998
167,wtvm.com,5,-21.756999999999998,-15.039000000000001
168,wsiltv.com,5,-24.647,-14.515
169,ktvn.com,5,-19.139,-12.849
170,wtol.com,5,-19.083,-14.129000000000001
171,yakimaherald.com,1,-18.715,1.8311
172,msnewsnow.com,5,-19.882,-15.102
173,bozemandailychronicle.com,1,-19.671,7.0906
174,thesouthern.com,1,-24.081,9.3044
175,morganton.com,1,-16.910999999999998,2.1971
176,westport-news.com,1,-10.377,9.036
177,wistv.com,5,-20.284000000000002,-14.722999999999999
178,elkodaily.com,1,-24.441999999999997,8.9245
179,fox19.com,5,-19.502,-15.704
180,brandonsun.com,8,-2.5635,-38.804
181,newschannel6now.com,5,-21.449,-15.427999999999999
182,abqjournal.com,1,-15.224,-1.7036
183,azdailysun.com,1,-21.844,7.1467
184,prokerala.com,3,22.471999999999998,-2.0306
185,wtop.com,1,-12.040999999999999,5.9055
186,wtoc.com,5,-21.125999999999998,-15.466
187,bdtonline.com,10,-18.875999999999998,11.65
188,auburnpub.com,1,-21.4,8.9088
189,cnn.com,16,6.6248,41.913999999999994
190,klkntv.com,5,-25.275,-11.74
191,wdam.com,5,-20.361,-14.477
192,wsfa.com,5,-20.176,-16.461
193,wmbfnews.com,5,-19.705,-15.134
194,sify.com,3,22.906,-2.3476
195,abc40.com,5,-23.535,-12.849
196,iheart.com,11,1.6922,-13.392999999999999
197,medicinehatnews.com,8,-1.1417,-37.3
198,wtvq.com,0,-16.317,-6.1314
199,accesswdun.com,1,-15.628,-2.9905
200,deccanchronicle.com,3,19.929000000000002,-4.2373
201,register-herald.com,10,-18.968,11.828
202,newmilfordspectrum.com,1,-10.077,8.5807
203,wltz.com,5,-24.648000000000003,-14.498
204,naharnet.com,2,15.811,-11.464
205,newsobserver.com,7,-33.733000000000004,7.0892
206,live5news.com,5,-20.201,-15.588
207,jg-tc.com,1,-22.846999999999998,9.7197
208,570news.com,8,-1.8198,-38.49
209,chicagotribune.com,1,-6.6498,0.70277
210,lex18.com,5,-20.006,-13.819
211,sunherald.com,7,-33.826,7.9447
212,reflector.com,1,-13.735,2.1423
213,cbslocal.com,1,-10.963,-4.5512
214,theblaze.com,1,-19.156,-0.16787
215,katc.com,5,-20.317,-13.948
216,billingsgazette.com,1,-21.87,8.6479
217,dnaindia.com,3,19.133,-3.2797
218,messenger-inquirer.com,1,-17.317,1.8241
219,tdn.com,1,-22.443,9.5299
220,rockymounttelegram.com,1,-14.140999999999998,2.3952
221,kiro7.com,1,-20.223,-1.2698
222,springfieldnewssun.com,6,-21.94,-4.7753
223,smh.com.au,12,19.041,-21.66
224,wftv.com,6,-21.983,-5.2841
225,wmcactionnews5.com,5,-20.338,-15.92
226,digitaljournal.com,2,15.520999999999999,-11.655
227,lancasteronline.com,0,-16.698,9.9786
228,ktar.com,1,-13.692,3.9814
229,fox8live.com,5,-19.474,-14.811
230,wrcbtv.com,5,-21.031,-13.95
231,newshub.org,3,18.987000000000002,-3.2001
232,metro.us,2,9.6848,-4.8121
233,kristv.com,5,-20.644000000000002,-14.287
234,whio.com,6,-23.113000000000003,-4.9451
235,kztv10.com,5,-19.809,-13.825
236,walb.com,5,-21.011,-16.066
237,firstpost.com,3,20.187,-1.8704
238,kcbd.com,5,-20.579,-15.154000000000002
239,wpsdlocal6.com,5,-20.409000000000002,-13.434000000000001
240,independenttribune.com,1,-14.964,1.0203
241,msn.com,0,0.67202,-7.22
242,gulfnews.com,2,12.879000000000001,-9.5622
243,gantdaily.com,13,-1.6342,44.699
244,kdwn.com,1,-20.741999999999997,0.9807799999999999
245,lethbridgeherald.com,8,-1.5188,-37.844
246,bellinghamherald.com,7,-33.408,7.7359
247,netindia123.com,3,22.718000000000004,-2.9386
248,wbtv.com,5,-21.074,-16.105999999999998
249,theindependent.com,1,-20.178,2.1241
250,theage.com.au,12,19.04,-21.659000000000002
251,wfsb.com,5,-22.346999999999998,-18.799
252,themonitor.com,1,-19.294,8.0784
253,cbs5az.com,5,-21.619,-18.954
254,kfvs12.com,5,-20.956,-16.409000000000002
255,lasvegassun.com,1,-10.698,0.5807399999999999
256,sanluisobispo.com,7,-34.463,8.3748
257,godanriver.com,1,-18.186,3.3188
258,thegardenisland.com,1,-21.689,2.1656
259,greensboro.com,1,-16.555,-0.93004
260,wiscnews.com,1,-23.592,10.415
261,muskogeephoenix.com,10,-18.366,12.849
262,newsmax.com,2,6.4531,-8.067
263,kentucky.com,7,-32.857,7.4159
264,star-telegram.com,7,-33.22,8.4027
265,straitstimes.com,2,14.008,-9.6573
266,newsday.com,1,-13.770999999999999,10.448
267,record-eagle.com,1,-17.471,5.8608
268,brisbanetimes.com.au,12,19.041,-21.658
269,wokv.com,6,-21.301,-4.9588
270,bradenton.com,7,-33.709,7.6257
271,kmjnow.com,13,-3.6036,44.986000000000004
272,kansas.com,7,-32.491,8.0029
273,hindustantimes.com,3,19.570999999999998,-4.6243
274,newser.com,1,-23.269000000000002,2.2602
275,14news.com,5,-20.399,-14.991
276,wibqam.com,2,8.7156,-4.4361
277,abc6.com,5,-19.665,-13.229000000000001
278,dailyherald.com,1,-16.529,6.5096
279,newsradio1440.com,13,-2.7725,45.02
280,wfnc640am.com,13,-4.3776,46.449
281,fresnobee.com,7,-33.516,8.7206
282,voiceofalexandria.com,1,-20.163,2.7728
283,ktre.com,5,-19.006,-15.123
284,shorelinemedia.net,1,-15.835,4.1248
285,belfasttelegraph.co.uk,11,0.049970999999999995,-15.564
286,themalaymailonline.com,2,14.419,-7.4713
287,philstar.com,1,-21.451,-0.13541
288,kpax.com,14,4.3914,41.836999999999996
289,cairnspost.com.au,9,10.444,-21.621
290,irishsun.com,15,33.475,-2.0564
291,wbal.com,4,29.048000000000002,18.203
292,news24.com,2,18.09,-9.8985
293,kake.com,5,-21.488000000000003,-15.071
294,wqow.com,5,-25.426,-10.969000000000001
295,nation.com.pk,2,11.564,-8.1866
296,thenewstribune.com,7,-33.083,7.9922
297,fox30jax.com,6,-22.377,-4.8635
298,eagletribune.com,10,-19.062,11.729000000000001
299,perthnow.com.au,9,10.151,-21.505
300,wbap.com,13,-6.0818,46.733999999999995
301,napavalleyregister.com,1,-24.996,10.283
302,theolympian.com,7,-33.405,8.416
303,dailytelegraph.com.au,9,9.9691,-21.588
304,kpvi.com,1,-25.031,4.9916
305,journal-news.com,6,-21.759,-4.4798
306,nbc29.com,5,-25.112,-11.280999999999999
307,hometownstations.com,5,-19.057000000000002,-13.470999999999998
308,hjnews.com,1,-19.465,1.4012
309,oann.com,2,8.9316,-5.7758
310,kbzk.com,14,4.606,41.732
311,hickoryrecord.com,1,-19.816,3.9952
312,kctv5.com,5,-22.035999999999998,-18.894000000000002
313,wfmz.com,16,11.325999999999999,41.622
314,readingeagle.com,1,-18.995,5.2168
315,streetinsider.com,2,9.517999999999999,-5.1308
316,770kkob.com,13,-3.7111,44.732
317,wfmj.com,5,-20.831999999999997,-13.534
318,mdjonline.com,1,-26.164,4.7542
319,newsradioklbj.com,1,-17.866,-1.5538
320,bnd.com,7,-34.354,7.6325
321,independent.ie,11,-0.22466,-15.325999999999999
322,wcax.com,5,-18.542,-13.235
323,azfamily.com,5,-21.875999999999998,-18.659000000000002
324,idahostatesman.com,7,-33.876999999999995,8.2441
325,japantimes.co.jp,2,6.6004,-7.9586
326,oleantimesherald.com,1,-24.113000000000003,5.5761
327,wtma.com,13,-7.0773,44.794
328,worldbulletin.net,2,16.236,-12.347999999999999
329,herald-dispatch.com,1,-19.254,7.4652
330,onlinenigeria.com,2,17.930999999999997,-13.349
331,wabcradio.com,13,-5.3837,46.166000000000004
332,macon.com,7,-33.86,7.5411
333,wnmtradio.com,2,8.7493,-4.1713
334,ktvq.com,14,4.5481,41.781000000000006
335,channel3000.com,16,10.487,42.256
336,1050talk.com,13,-4.1515,44.195
337,860utahsbigtalker.com,13,-4.8076,47.141000000000005
338,newsradio1029.com,13,-3.9417,44.485
339,kxlf.com,14,4.5097,41.788000000000004
340,netscape.com,2,9.7414,-6.6392
341,thestatesman.com,3,20.989,-1.9052
342,bangkokpost.com,2,15.92,-10.895
343,myrtlebeachonline.com,7,-34.022,7.8029
344,gulf-times.com,2,13.904000000000002,-10.99
345,wvlkam.com,13,-5.6913,45.797
346,vancouversun.com,17,-0.61166,-33.459
347,chroniclejournal.com,8,-1.8745,-37.912
348,nripress.com,3,22.506999999999998,-2.1351
349,elpasoinc.com,1,-20.242,1.8155
350,adelaidenow.com.au,9,10.255,-21.612
351,1090kaay.com,13,-4.891,47.363
352,kfgo.com,2,8.8706,-3.7893
353,waow.com,5,-25.024,-11.529000000000002
354,kcra.com,16,12.764000000000001,40.707
355,tristateupdate.com,5,-20.579,-12.964
356,themercury.com.au,9,10.380999999999998,-21.506
357,goldcoastbulletin.com.au,9,10.208,-21.664
358,wgowam.com,13,-4.3832,44.158
359,kugn.com,13,-3.4309,44.629
