,source,cluster,x,y
0,tampabay.com,1,-13.147,16.849
1,kxxv.com,1,-14.517000000000001,21.186
2,dailymail.co.uk,1,-12.462,15.189
3,durangoherald.com,1,-9.5912,17.262
4,businessinsider.com,1,-9.6226,17.257
5,dailyjournalonline.com,1,-10.123,15.59
6,newser.com,1,-12.175999999999998,22.32
7,newschannel10.com,1,-9.7911,16.942
8,springfieldnewssun.com,1,-12.205,16.086
9,nationalpost.com,1,-12.047,23.151999999999997
10,keyt.com,1,-13.280999999999999,23.234
11,wmac-am.com,1,-12.418,22.070999999999998
12,claremoreprogress.com,2,-1.3227,-14.353
13,novanewsnow.com,1,-13.102,24.803
14,stamfordadvocate.com,1,-12.69,20.883000000000003
15,dailykos.com,1,-4.1607,16.837
16,vancouverisland.ctvnews.ca,1,-14.205,21.04
17,wabi.tv,1,-12.257,25.174
18,delaware1059.com,1,-12.056,24.726999999999997
19,fox6now.com,1,-12.469000000000001,24.324
20,bellinghamherald.com,1,-14.368,20.538
21,craigdailypress.com,1,-12.052999999999999,23.366999999999997
22,suwanneedemocrat.com,1,-11.860999999999999,24.316
23,myhighplains.com,1,-12.147,24.177
24,china.org.cn,1,-12.432,23.025
25,prweb.com,1,-12.287,25.209
26,cbsnews.com,3,-9.2182,-10.865
27,wfgr.com,1,-12.602,24.868000000000002
28,fox23.com,1,-17.241,15.207
29,wect.com,1,-6.432,17.528
30,nbcmontana.com,1,-11.777000000000001,23.933000000000003
31,sacbee.com,1,-11.984000000000002,24.458000000000002
32,bigcountry969.com,1,-4.5798,16.862000000000002
33,msn.com,1,-12.172,25.209
34,wkow.com,1,-4.4241,16.827
35,tucsonnewsnow.com,1,-7.2964,15.743
36,indianexpress.com,1,-4.3229,16.747
37,usc.edu,1,-11.868,23.42
38,gazettetimes.com,1,-5.7158,18.089000000000002
39,heaven1460.com,1,-18.718,21.52
40,gazettenet.com,4,-28.225,13.628
41,huffingtonpost.com,1,-12.439,16.18
42,ideastream.org,1,-17.707,19.58
43,adn.com,1,-12.849,24.614
44,business-standard.com,1,-7.2867,15.809000000000001
45,thehill.com,1,-16.012,21.41
46,am1070theanswer.com,1,-13.545,16.227999999999998
47,southcarolinaradionetwork.com,1,-7.3037,15.894
48,stltoday.com,4,-27.965,12.757
49,10tv.com,4,-28.459,13.602
50,thetelegraphandargus.co.uk,1,-11.743,17.883
51,hepburnadvocate.com.au,4,-28.793000000000003,14.759
52,townhall.com,3,-10.086,-9.4821
53,politico.com,1,-17.165,15.205
54,wgrz.com,1,-4.3175,16.543
55,wfnc640am.com,2,-1.5279,-13.415
56,kbzk.com,1,-14.397,18.414
57,foxnews.com,1,-11.015999999999998,19.604
58,1340wjrw.com,1,-17.881,19.706
59,todayonline.com,1,-6.4957,19.003
60,kcrr.com,1,-16.308,22.866999999999997
61,rgvproud.com,1,-12.882,24.482
62,smh.com.au,1,-11.725999999999999,17.244
63,tvline.com,4,-28.616,13.51
64,thefanfm.com,4,-29.107,13.775
65,lillooetnews.net,1,-12.585,23.959
66,jschina.com.cn,5,-27.485,10.267000000000001
67,wcyb.com,1,-17.358,21.586
68,thisisthewestcountry.co.uk,1,-19.46,22.197
69,enca.com,1,-9.8784,20.709
70,morningjournal.com,4,-28.826999999999998,14.715
71,singaporestar.com,1,-11.734000000000002,16.997
72,news3lv.com,1,-13.599,20.223
73,newsok.com,1,-5.1475,18.835
74,krgv.com,1,-11.529000000000002,25.796999999999997
75,dhakatribune.com,6,-0.55299,29.663
76,se933.com,4,-27.894000000000002,14.218
77,wmcactionnews5.com,2,-1.381,-14.062999999999999
78,fox5ny.com,4,-28.645,14.562999999999999
79,localberkshire.co.uk,2,-1.2113,-13.747
80,ap.org,1,-5.1743,17.338
81,voiceofvienna.org,1,-5.9295,18.909000000000002
82,wxxv25.com,1,-12.969000000000001,25.175
83,themercury.com.au,1,-14.448,21.366
84,thenewstribune.com,1,-15.91,22.336
85,wlrn.org,7,13.687999999999999,-16.208
86,wgauradio.com,4,-27.873,13.345
87,wjol.com,4,-29.054000000000002,13.619000000000002
88,wtkr.com,1,-12.51,26.253
89,firstlightradio.com,1,-22.929000000000002,20.688000000000002
90,roanoke.com,5,-27.48,10.335999999999999
91,nydailynews.com,4,-28.666999999999998,14.133
92,heraldscotland.com,4,-27.851,14.062999999999999
93,thezimbabwedaily.com,1,-5.2879,18.177
94,mexicostar.com,1,-7.9910000000000005,22.57
95,fox40.com,8,14.675999999999998,-2.1647
96,go.com,1,-6.3075,18.715999999999998
97,thewhig.com,1,-5.0599,17.099
98,stevenspointjournal.com,1,-10.802,23.968000000000004
99,latrobevalleyexpress.com.au,1,-10.548,24.441
100,thehimalayantimes.com,1,-5.3902,19.094
101,newsnow.in,1,-13.52,24.898000000000003
102,cnn.com,1,-17.102999999999998,19.403
103,kiro7.com,1,-6.2877,21.811
104,newswest9.com,8,14.74,-1.8422
105,culturemap.com,1,-19.637999999999998,23.474
106,theguardian.com,1,-17.275,22.914
107,kix1025.com,7,13.615,-16.412
108,washingtonpost.com,0,-2.2776,11.539000000000001
109,middletownpress.com,1,-15.41,20.049
110,calgarysun.com,1,-16.565,21.423000000000002
111,phillymag.com,1,-5.3704,19.125999999999998
112,devang.com,1,-16.069000000000003,23.504
113,wwlp.com,1,-18.861,22.44
114,the-messenger.com,1,-11.342,25.925
115,singletonargus.com.au,6,-0.32289,29.543000000000003
116,pakobserver.net,3,-7.2176,-8.5064
117,trust.org,1,-5.6326,18.865
118,gofbw.com,7,13.690999999999999,-16.588
119,jg-tc.com,1,-13.377,18.302
120,660news.com,8,13.663,-2.8795
121,rapidcityjournal.com,1,-18.14,21.436
122,france24.com,3,-8.85,-10.174
123,senegal-actu.com,3,-0.84825,-5.8257
124,idahopress.com,5,-27.55,9.7021
125,waaytv.com,3,-9.7762,-11.802999999999999
126,ndtv.com,1,-10.107999999999999,23.514
127,weartv.com,5,-26.709,8.9066
128,dailyrepublic.com,1,-13.134,25.668000000000003
129,wach.com,1,-12.94,19.163
130,autoexpress.co.uk,1,-12.162,26.324
131,westernadvocate.com.au,5,-27.36,7.8277
132,kekbfm.com,5,-25.329,8.1314
133,gantdaily.com,9,45.273999999999994,-8.5941
134,mynorthwest.com,1,-9.4197,23.939
135,publicopiniononline.com,1,-12.321,13.085999999999999
136,ballinaadvocate.com.au,1,-13.793,26.081999999999997
137,bunburymail.com.au,1,-22.72,20.17
138,westerntelegraph.co.uk,1,-21.706,20.089000000000002
139,9and10news.com,3,-9.9704,-11.599
140,kfvs12.com,8,14.864,-0.69111
141,dariennewsonline.com,1,-12.116,26.143
142,mynbc5.com,1,-10.398,25.314
143,4-traders.com,2,-1.335,-13.664000000000001
144,winnipegfreepress.com,1,-9.6723,17.894000000000002
145,adelaidenow.com.au,1,-10.302999999999999,24.533
146,un.org,0,2.9739,-12.734000000000002
147,kfbb.com,1,-4.7679,16.294
148,thedailybeast.com,1,-17.377,20.605
149,independentsentinel.com,1,-11.402000000000001,16.521
150,mywabashvalley.com,1,-11.475999999999999,24.399
151,pbs.org,1,-18.28,12.793
152,centralmoinfo.com,2,-0.46955,-14.421
153,floppingaces.net,1,-7.8995,0.45788999999999996
154,justsaynews.com,1,-11.163,19.345
155,wjcw.com,5,-26.131,9.8607
156,publicradiotulsa.org,1,-16.125,20.035
157,news.lk,1,-15.974,23.114
158,boingboing.net,1,-14.892000000000001,25.204
159,okcfox.com,4,-29.41,13.231
160,queenslandcountrylife.com.au,8,15.084000000000001,-1.8119
161,myfoxspokane.com,5,-27.165,8.4273
162,malaysia-chronicle.com,8,15.177999999999999,-1.7418
163,abc15.com,8,15.112,-1.7245
164,wgem.com,1,-23.768,19.722
165,khq.com,5,-27.004,7.3633
166,power95.net,6,0.074668,28.386999999999997
167,standardbredcanada.ca,5,-26.405,9.7379
168,wzozfm.com,1,-7.3757,26.497
169,metronews.ca,5,-27.688000000000002,8.3279
170,bloodhorse.com,1,-4.802,16.162
171,theaustralian.com.au,1,-8.6085,20.915
172,411mania.com,1,-14.255,19.956
173,kjct8.com,5,-25.639,8.827
174,nynganobserver.com.au,6,0.25692,29.764
175,memphissun.com,8,15.312999999999999,-1.5217
176,detroitnews.com,1,-10.984000000000002,19.614
177,fox5atlanta.com,1,-16.042,12.615
