,source,cluster,x,y
0,businessinsider.com,1,-16.392,21.889
1,springfieldnewssun.com,1,-12.539000000000001,20.506999999999998
2,xbiz.com,1,-16.045,24.058000000000003
3,medicalxpress.com,1,-18.067999999999998,18.072
4,voanews.com,1,-17.973,18.012999999999998
5,daily-times.com,1,-14.788,20.624000000000002
6,stjoechannel.com,1,-6.7375,22.23
7,trust.org,1,-18.394000000000002,18.255
8,wfmj.com,2,4.7543,-3.1642
9,salon.com,1,-9.5783,24.719
10,q961.com,1,-10.508,24.291
11,yorkpress.co.uk,1,-10.099,24.064
12,romseyadvertiser.co.uk,3,4.0868,-11.327
13,thetottenhamindependent.co.uk,1,-9.7583,24.92
14,miamiherald.com,1,-19.785,19.205
15,irishtimes.com,1,-9.8962,24.814
16,ctpost.com,1,-13.382,24.485
17,djournal.com,1,-10.24,25.128
18,un.org,1,-20.234,19.298
19,newjerseytelegraph.com,1,-9.7228,25.43
20,marketwatch.com,0,-19.311,13.308
21,rockymounttelegram.com,1,-12.312999999999999,23.221
22,columbustelegram.com,1,-8.3385,25.143
23,jpupdates.com,1,-8.7174,25.434
24,nigeriasun.com,1,-9.5055,23.726
25,dailyjournal.net,1,-18.69,19.631
26,1470wmbd.com,1,-10.956,20.090999999999998
27,roanoke.com,1,-7.8656,24.156
28,usnews.com,1,-8.8918,24.58
29,wbaltv.com,1,-9.1049,25.068
30,braintreeandwithamtimes.co.uk,1,-8.6204,24.954
31,wlrn.org,1,-8.2104,24.982
32,detroitnews.com,1,-8.2715,24.596999999999998
33,stlouisstar.com,1,-19.167,19.498
34,journaltimes.com,1,-20.555,19.072
35,dredgingtoday.com,1,-11.936,19.276
36,reuters.com,1,-20.58,18.644000000000002
37,tampabay.com,1,-20.761999999999997,18.625999999999998
38,willmarradio.com,4,-32.326,6.4639
39,cnnphilippines.com,4,-33.010999999999996,8.0246
40,floppingaces.net,1,-8.7929,24.805
41,clclt.com,1,-15.339,21.252
42,coastalleader.com.au,4,-30.54,7.5585
43,humanitariannews.org,1,-15.280999999999999,21.365
44,rermag.com,1,-8.5001,24.031
45,wjla.com,4,-33.391,8.5661
46,thecourier.com.au,3,6.2561,-9.5314
47,daytondailynews.com,2,4.3876,-3.7011
48,morganhilltimes.com,1,-15.433,17.183
49,kazu.org,4,-33.899,8.5203
50,abc27.com,4,-32.881,7.2981
51,local15tv.com,1,-16.006,21.653000000000002
52,livejournal.com,4,-33.431999999999995,8.7026
53,journalstar.com,1,-19.984,20.500999999999998
54,myhighplains.com,0,-19.324,13.275
55,baxterbulletin.com,4,-32.827,7.8261
56,hawaiinewsnow.com,2,4.8086,-3.4876
57,thequint.com,1,-12.062000000000001,19.515
58,wokv.com,1,-9.4409,23.535999999999998
59,nymag.com,1,-14.936,22.299
60,thepublicopinion.com,1,-19.582,19.954
61,mychamplainvalley.com,1,-10.857000000000001,20.387
62,typepad.com,1,-8.9322,22.489
63,newshub.org,1,-15.36,17.233
64,fox8.com,1,-8.7829,23.502
65,nypost.com,1,-13.155999999999999,22.103
66,heraldonline.com,4,-33.596,8.1163
67,bclocalnews.com,1,-8.6122,24.433000000000003
68,santamariatimes.com,1,-14.468,22.658
69,krmg.com,4,-32.757,8.6361
70,guyraargus.com.au,4,-32.802,8.9322
71,mysanantonio.com,1,-20.287,19.755
72,trinidadexpress.com,1,-14.770999999999999,20.298
73,13wmaz.com,1,-20.369,20.118
74,celebuzz.com,4,-33.538000000000004,7.2493
75,cctv-america.com,1,-13.38,21.264
76,brooklyneagle.com,1,-20.437,20.053
77,971talk.com,2,4.6038,-3.6441
78,kabc.com,1,-20.500999999999998,19.011
79,rep-am.com,1,-8.0171,15.690999999999999
80,finchannel.com,1,-15.298,16.989
81,kezi.com,5,-20.836,7.8729
82,am1170theanswer.com,1,-20.85,18.858
83,bignewsnetwork.com,1,-20.272000000000002,19.788
84,wvik.org,1,-12.347000000000001,20.469
85,herald-review.com,1,-19.937,20.137999999999998
86,telegraphindia.com,1,-8.7891,24.269000000000002
87,southfloridagaynews.com,2,4.9048,-3.2633
88,echoofindia.com,6,8.8371,-22.191
89,963jackfm.com,1,-7.2238,25.23
90,texasgopvote.com,4,-30.414,7.5767
91,courant.com,4,-32.606,8.6071
92,westerntelegraph.co.uk,7,-23.910999999999998,30.743000000000002
93,ap.org,3,5.3251,-10.193999999999999
94,kuow.org,2,4.1401,-1.9916
95,bangladeshsun.com,4,-31.625999999999998,5.6912
96,onlinenigeria.com,4,-34.141,7.0574
97,wjhl.com,1,-7.8966,25.098000000000003
98,weisradio.com,1,-16.738,20.018
99,durangoherald.com,6,8.7982,-21.948
100,businesstimes.com.sg,1,-9.5405,21.726999999999997
101,tristateupdate.com,1,-11.408,16.114
102,newsok.com,8,17.844,-35.344
103,wnyt.com,7,-23.758000000000003,30.566
104,thenationonlineng.net,1,-9.9341,20.656999999999996
105,beat102103.com,1,-8.7955,20.816999999999997
106,kztv10.com,0,1.0917,-0.9951700000000001
107,inews880.com,1,-8.7599,26.406
108,mapleridgenews.com,1,-10.074,20.262
109,clintonherald.com,4,-31.388,5.7632
110,nine.com.au,2,4.345,-3.7808
111,novanewsnow.com,8,17.802,-35.166
112,theindependent.com,1,-9.8011,21.072
113,newyorker.com,1,-11.992,17.125999999999998
114,fayobserver.com,4,-31.515,4.7524
115,tmcnet.com,4,-30.666999999999998,5.4297
116,6abc.com,6,8.7029,-22.08
117,en.rfi.fr,1,-8.209,23.951
118,breitbart.com,9,12.030999999999999,-5.1575
119,abc22now.com,1,-13.31,19.883
120,beijingbulletin.com,1,-8.7316,26.888
121,khon2.com,4,-30.61,4.5826
122,todmordennews.co.uk,4,-31.011999999999997,5.8667
123,lancasteronline.com,4,-32.789,9.0002
124,peeblesshirenews.com,1,-7.3552,24.994
125,torontosun.com,4,-29.599,5.0421
126,wvah.com,1,-10.375,19.857
127,inquisitr.com,1,-11.972000000000001,23.149
