,source,cluster,x,y
0,daytondailynews.com,1,-9.0624,-20.619
1,businessinsider.com,1,-8.1067,-13.405999999999999
2,nbcnews.com,2,9.5048,8.0846
3,dailyjournalonline.com,3,-13.856,-21.803
4,bbc.com,3,-14.020999999999999,-21.87
5,record-eagle.com,1,-9.7716,-26.98
6,texasgopvote.com,1,-9.6725,-28.878
7,internationallawoffice.com,1,-8.1558,-23.788
8,ktar.com,1,-9.9149,-27.535
9,ausdroid.net,1,-9.1268,-27.534000000000002
10,wptv.com,1,-8.662,-27.359
11,independenttribune.com,1,-8.7267,-27.206999999999997
12,wkow.com,1,-8.4493,-26.523000000000003
13,sheboyganpress.com,1,-8.8327,-27.239
14,wandtv.com,1,-9.4963,-27.561999999999998
15,fox30jax.com,3,-13.445,-21.128
16,seattletimes.com,1,-7.2382,-19.463
17,wbrc.com,1,-9.0831,-27.679000000000002
18,defund.com,1,-8.3275,-26.74
19,dailytimes.com.pk,1,-10.163,-26.714000000000002
20,cinemablend.com,2,2.7301,14.129000000000001
21,esperanceexpress.com.au,2,16.364,13.238
22,usnews.com,1,-9.7478,-17.289
23,ign.com,3,-15.413,-20.27
24,9and10news.com,1,-9.4179,-27.112
25,sfgate.com,1,-10.012,-17.517
26,theblaze.com,3,-15.282,-20.024
27,wiscnews.com,1,-8.6616,-26.589000000000002
28,oanow.com,1,-9.6475,-24.090999999999998
29,thestar.com.my,1,-8.8388,-21.765
30,actionnewsjax.com,1,-10.942,-12.546
31,sbsun.com,1,-11.079,-12.555
32,chippewa.com,3,-15.44,-20.035999999999998
33,wikistarz.com,1,-8.9721,-26.858
34,pressherald.com,3,-13.722000000000001,-19.500999999999998
35,stripes.com,1,-9.0768,-27.21
36,4-traders.com,3,-15.418,-19.899
37,fox5vegas.com,1,-8.0411,-28.79
38,wtoc.com,14,32.4,-8.1313
39,timesnews.net,3,-15.677,-20.116
40,kltv.com,4,-29.554000000000002,-15.97
41,sunjournal.com,2,13.295,14.295
